3.294803e-06+0.000000e+00i 1.983476e-06+0.000000e+00i
3.303904e-06+0.000000e+00i 2.036060e-06+0.000000e+00i
3.344164e-06+0.000000e+00i 1.974005e-06+0.000000e+00i
3.305943e-06+0.000000e+00i 2.000516e-06+0.000000e+00i
3.297717e-06+0.000000e+00i 2.010183e-06+0.000000e+00i
3.339671e-06+0.000000e+00i 1.989786e-06+0.000000e+00i
3.334465e-06+0.000000e+00i 2.011531e-06+0.000000e+00i
3.333354e-06+0.000000e+00i 1.997487e-06+0.000000e+00i
3.292923e-06+0.000000e+00i 1.996931e-06+0.000000e+00i
3.316812e-06+0.000000e+00i 1.976421e-06+0.000000e+00i
3.358476e-06+0.000000e+00i 2.009650e-06+0.000000e+00i
